Exp_Mass,Exp_Intensity
1513.608945,3501
1513.803819,14091
1515.797088,4011
1515.810821,5773
1516.286143,7369
1516.537855,5365
1517.802597,6636
1517.81952,5023
1519.407167,5543
1520.812284,5016
1522.050166,3664
1522.806373,6957
1523.150831,4259
1523.312723,3112
1523.999191,3803
1525.304848,2921
1525.816708,9403
1525.911607,3847
1526.406399,4167
1526.721925,3485
1527.309732,4917
1528.711256,4065
1529.211177,3504
1530.01387,10526
1530.058505,9214
1530.058505,4208
1530.505703,4649
1532.816694,8152
1534.813734,15083
1535.927136,6018
1536.147974,8294
1536.305181,3875
1537.261399,5238
1537.590428,3924
1537.707531,6868
1537.815001,6323
1538.926921,2953
1539.215863,3635
1539.796946,3500
1539.82719,4965
1540.034105,8094
1540.286192,3699
1540.32578,3758
1543.816855,6438
1543.834767,2025
1544.59223,8627
1544.925946,2895
1545.045624,3602
1545.508774,4290
1545.925111,3090
1546.725475,3072
1547.819156,10798
1548.152048,6604
1548.306679,3243
1549.012622,3561
1550.018452,8261
1550.113299,3024
1550.314409,4095
1550.491959,6047
1550.603094,7334
1550.726712,3501
1550.824363,11293
1551.049555,5153
1551.520211,4139
1551.930042,3509
1551.997814,3781
1552.812063,4169
1553.821068,7072
1554.815545,3292
1555.860784,3318
1556.818121,9172
1557.406641,3386
1557.438007,4468
1557.493242,5557
1558.227911,3530
1558.824535,7709
1560.423644,5341
1560.82479,12065
1561.628559,6067
1563.031873,6560
1563.112199,3731
1563.633896,4061
1564.826362,6034
1566.823247,11172
1567.360333,3896
1567.856967,4630
1567.946495,3264
1568.357215,4699
1569.008602,2978
1569.818598,4042
1569.836348,4303
1570.396025,3760
1571.167003,3045
1571.279144,4193
1571.547061,5962
1571.638157,5432
1571.724343,4075
1571.825981,6752
1572.188922,3343
1572.237946,5065
1573.825822,6895
1573.938487,4217
1574.045737,3711
1574.069578,3717
1575.332682,6165
1576.119212,7162
1578.539107,4131
1579.144598,7749
1579.745206,6649
1580.616348,3876
1582.641187,10534
1582.822012,4164
1582.84386,9885
1585.445668,13857
1585.547844,11048
1585.844281,8755
1587.84607,9947
1591.245548,6462
1591.844918,5776
1593.848541,7412
1595.452279,9596
1598.845888,4849
1599.549161,5669
1599.549161,7483
1599.850944,6299
1600.957798,4569
1601.750636,5184
1602.951163,3937
1605.150247,4493
1606.354596,6182
1607.555263,9554
1607.65398,10013
1607.853619,15535
1608.454679,8479
1609.047686,7738
1609.349111,9381
1609.852881,11978
1611.558967,3692
1611.76783,32359
1612.335028,3534
1613.857097,4230
1616.347801,4205
1616.850913,3758
1618.490654,3745
1618.857778,8669
1621.866704,4640
1623.854578,4023
1625.855266,5270
1627.864701,5460
1628.857924,7702
1629.109106,3766
1629.611655,5408
1635.372404,3206
1635.863949,7276
1636.003002,3731
1636.289582,3111
1636.289582,4063
1636.718196,4852
1637.867621,4029
1647.877176,8967
1651.878015,8528
1652.211496,4165
1652.433621,6515
1653.658364,4727
1653.88244,14551
1654.215111,4825
1655.104544,3336
1655.104544,3931
1656.864195,3895
1658.379123,5233
1658.8814,15842
1661.748252,21826
1662.901243,3623
1664.383506,7289
1664.637002,5266
1667.62903,4677
1668.883126,7878
1672.888308,8958
1674.225287,4378
1678.903082,5261
1679.911582,35862
1684.892037,4725
1689.933166,9613
1693.937952,6100
1695.891222,4828
1697.8902,5519
1698.906979,5817
1702.911405,6346
1709.899036,6962
1713.65733,4824
1720.907926,11453
1723.468181,4557
1726.919166,4611
1733.93042,6375
1738.919732,4985
1741.930222,6128
1753.392047,4476
1754.496838,5989
1755.822861,4689
1776.944925,5422
1779.7213,5589
1781.389508,4335
1782.395599,5900
1786.952827,8090
1787.179451,5435
1798.956303,4451
1836.979862,8312
1852.996716,15015
1870.01922,13194
1924.034568,116958
1977.059516,5604
1978.809422,5007
1980.05798,6849
1996.075764,88098
1997.079442,35289
2034.129329,34056
2067.128408,10478
2071.142106,5541
2071.193076,6262
2123.131363,41318
2139.150515,33263
2160.186352,62054
2179.22057,9006
2195.971367,7548
2275.206389,18185
2335.273494,79568
2400.25133,2048
2404.25796,112694
2406.26471,49886
2420.210919,2892
2421.279047,2815
2422.287056,59675
2432.326171,171756
2465.277672,6741
2503.326272,45869
2517.356243,114719
2533.375498,24144
2560.343249,6764
2561.357286,4713
2589.407236,10961
2605.381378,14268
2634.399944,29613
2638.396859,42101
2664.435399,29580
2722.439909,31448
2727.385928,17591
2763.441377,23467
2763.49842,24816
2793.473742,80411
2867.04887,11543
2921.559912,100177
2978.587147,26843
3003.630899,19232
3018.598925,7118
3035.624648,211257
3044.086483,5482
3123.652426,6263
3126.658478,92365
3141.670063,91237
3143.653839,94512
3148.707899,12202
3158.753198,8251
3160.688839,5901
3171.272369,6598
3172.658264,9807
3181.701261,23790
3193.691275,5372
3195.284421,4531
3199.701874,6434
3256.737012,3852
3257.725701,156630
3262.714588,2229
3263.716712,152572
3265.215779,15303
3278.753198,7035
3279.733068,24349
3355.748968,6040
3356.828623,4755
3369.824286,404317
3371.757631,5780
3377.440606,3357
3399.764731,2430
3415.784506,7137
3427.810444,2609
3432.800425,5869
3452.820348,5251
3458.834288,5419
3468.895314,502437
3485.919502,28873
3486.830156,12862
3539.872129,3371
3549.953674,11922
3565.861258,4971
3567.964469,517165
3568.836956,5979
3583.895299,30832
3584.038162,13273
3584.996261,39181
3590.795642,8369
3598.893777,7772
3600.920681,4114
3603.413517,7980
3614.032639,6739
3664.990543,2884
3672.900556,31006
3706.978667,4109
3731.027911,258113
3741.039837,15695
3742.05285,24695
3745.965733,2300
3766.78359,3224
3801.087923,2712
3801.987768,33504
3844.155833,5547
3890.068757,8081
3901.054628,53189
3916.027805,4134
3984.121198,26155
3998.116306,17758
4056.081033,1781
4092.110474,8220
4097.138882,3618
4115.217564,4017
4142.401471,4892
4158.167505,2348
4159.835327,3296
4160.179394,3723
4193.726459,8340
4194.680616,13076
4210.226767,2100
4211.246408,60553
4212.245464,6039
4259.343448,40024
4260.28931,16722
4261.242713,10161
4268.259051,30277
4307.263752,8258
4308.254246,5396
4364.292024,12678
4368.309442,6753
4399.367301,68933
4414.423901,3916
4415.447807,20619
4416.407727,41596
4463.855612,3414
4495.426378,21095
4505.472353,13866
4508.395518,4307
4510.448604,8630
4546.436283,138317
4576.414208,4077
4580.420374,6359
4582.952765,4350
4586.423534,5210
4620.430184,3004
4632.415719,2837
4632.561271,22005
4634.434483,2015
4651.535251,37807
4692.550681,2478
4693.509904,155476
4710.537322,13328
4756.440949,2386
4795.545212,50476
4796.58597,5335
4821.597196,19185
4822.5496,207059
4838.561616,41000
4838.634253,23306
4839.574117,20278
4840.571222,17016
4841.604858,3840
4844.527663,2605
4886.436913,2681
4889.329182,5472
4890.623779,13905
4891.578333,135886
4907.626709,10569
4909.589956,103790
4909.62618,2115
4911.638698,43129
4913.652854,72394
4926.615773,9222
4992.563306,8750
5038.631709,45311
5041.703725,17176
5056.657015,40518
5056.966154,3784
5072.679566,8252
5078.607486,10026
5094.601124,2462
5105.672756,4792
5105.808624,19797
5112.723825,10922
5113.665961,25369
5121.707296,2414
5131.706965,7684
5135.745391,4675
5153.755404,132755
5156.217118,11496
5176.691068,73347
5187.768506,5156
5207.744813,11711
5210.668559,5321
5227.697383,3119
5227.747158,161078
5228.549797,3352
5228.707418,97340
5250.258562,5750
5250.678269,45617
5252.43344,5584
5252.771957,91740
5252.773479,7958
5256.802649,8879
5266.655189,27355
5268.766221,11413
5277.718193,7760
5278.454632,21311
5279.004086,2639
5281.984796,1215
5299.756556,1591
5303.778374,10065
5306.773722,1167
5311.732579,14924
5335.82691,4988
5339.800719,9307
5340.484359,3758
5340.840372,29868
5341.78649,28438
5343.792308,29618
5351.82315,98547
5354.783038,11717
5363.745271,18200
5367.826229,14978
5367.826229,10691
5369.07168,3181
5380.747825,12268
5384.811706,1286
5409.802351,5491
5409.857587,48285
5410.796953,6337
5426.849159,10817
5428.799907,22883
5431.821826,10497
5436.796671,3075
5448.757925,6632
5489.897494,17321
5504.877571,11023
5510.903486,11707
5511.845787,24809
5511.898482,1330
5551.844636,18635
5567.841032,15059
5599.948818,3596
5730.060157,3248
5746.090452,20619
5845.099256,39756
5845.130588,9446
5861.099961,16362
5915.138447,37092
5929.060021,17860
5964.120574,8658
5964.137249,29480
6098.094044,1671
6100.245003,2814
6101.174388,15566
6117.1303,3719
6117.212192,18497
6138.132777,7895
6139.127071,2576
6214.285783,13672
6218.231201,12198
6316.306418,25006
6342.312345,2378
6414.314434,17289
6416.398245,4674
6429.354605,9395
6430.324887,34295
6451.311593,7668
6456.313287,45190
6470.341378,3222
6528.427592,12343
6542.425569,6739
6544.469671,5367
6556.423554,94945
6629.471148,11881
6630.459516,22430
6644.489995,36607
6648.684795,11451
6655.457473,8405
6683.499028,73274
6699.499157,73763
6712.511779,3144
6715.518323,13808
6754.554549,91542
6775.72408,3351
6847.593401,70239
6861.570314,5126
6890.692045,9454
6891.588863,169098
6904.600501,7783
6913.545828,3286
6915.591277,7596
6926.667691,2846
6929.538601,12202
6947.619261,4177
6948.615451,109709
6950.174289,7410
7004.615398,12427
7005.62868,14089
